[20:06:37] [main/INFO]: ModLauncher running: args [--username, Volixia666, --version, forge-47.2.0, --gameDir, C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2), --assetsDir, C:\Users\olivi\curseforge\minecraft\Install\assets, --assetIndex, 5, --uuid, c5e41b1aa38e4d12a80578b67734a038, --accessToken, ????????, --clientId, NTQwNjViMDUtZDkzNy00M2U1LWIzMTQtNWFkYWVlNTExNDIx, --xuid, 2535421912994388, --userType, msa, --versionType, release, --width, 1024, --height, 768, --quickPlayPath, C:\Users\olivi\curseforge\minecraft\Install\quickPlay\java\1713143194986.json, --launchTarget, forgeclient, --fml.forgeVersion, 47.2.0, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412]
[20:06:37] [main/INFO]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.8 by Microsoft; OS Windows 10 arch amd64 version 10.0
[20:06:39] [main/INFO]: Loading ImmediateWindowProvider fmlearlywindow
[20:06:39] [main/INFO]: Trying GL version 4.6
[20:06:39] [main/INFO]: Requested GL version 4.6 got version 4.6
[20:06:39] [main/INFO]: Redirector CoreMod initialized successfully!
[20:06:39] [pool-2-thread-1/INFO]: GL info: NVIDIA GeForce GTX 1060 6GB/PCIe/SSE2 GL version 4.6.0 NVIDIA 536.99, NVIDIA Corporation
[20:06:39] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/C:/Users/olivi/curseforge/minecraft/Install/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%23100!/ Service=ModLauncher Env=CLIENT
[20:06:39] [main/INFO]: ? Processing 120 client sides mods with 0 skipped entries ...
[20:06:39] [main/INFO]: ? No need to update client side mods config file C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\config\adaptive_performance_tweaks\client_side_mods.list
[20:06:39] [main/INFO]: ? Processing 120 client sides mods with 3 skipped entries ...
[20:06:39] [main/INFO]: [Mod Optimizer] ? init with game dir C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2) and mods dir C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods for target CLIENT
[20:06:39] [main/INFO]: [Mod Optimizer] ? Optimizing Duplicated Mods ...
[20:06:39] [main/INFO]: [Duplicated Mods] checking ~212 mods in C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods for duplication with file extension .jar ...
[20:06:40] [main/INFO]: [Mod Optimizer] ? Re-Enable possible client side mods ...
[20:06:41] [main/INFO]: Found mod file absentbydesign-1.20.1-1.8.0.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file adaptive_performance_tweaks_core_1.20.1-10.2.0.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file adaptive_performance_tweaks_items_1.20.1-10.0.0.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file adaptive_performance_tweaks_player_1.20.1-10.0.0.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file AdChimneys-1.20.1-10.1.5.1-build.0365.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file additionallanterns-1.1.1-forge-mc1.20.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file AdPother-1.20.1-8.1.7.0-build.0386.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file AI-Improvements-1.20-0.5.2.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file alchemistry-1.20.1-2.3.4.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file alchemylib-1.20.1-1.0.30.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file alexsdelight-1.5.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
[20:06:41] [main/INFO]: Found mod file alexsmobs-1.22.8.jar of type MOD with provider {mods folder locator at C:\Users\olivi\curseforge\minecraft\Instances\Crafting On A Potato (2)\mods}
